Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
2016,91342,309,44.3,18+,Los Angeles
2016,91343,262,58.0,18+,Los Angeles
2016,91344,124,30.4,18+,Los Angeles
2016,91345,65,45.8,18+,Los Angeles
2016,91350,55,21.7,18+,Los Angeles
2016,91351,105,40.3,18+,Los Angeles
2016,91352,186,49.1,18+,Los Angeles
2016,91354,45,20.7,18+,Los Angeles
2016,91355,58,22.0,18+,Los Angeles
2016,91356,97,41.0,18+,Los Angeles
2016,91360,54,16.6,18+,Ventura
2016,91361,13,7.6,18+,Ventura
2016,91362,36,12.6,18+,Ventura
2016,91364,63,30.4,18+,Los Angeles
2016,91367,89,26.1,18+,Los Angeles
2016,91381,16,12.1,18+,Los Angeles
2016,91384,44,18.9,18+,Los Angeles
2016,91387,104,32.7,18+,Los Angeles
2016,91390,34,26.0,18+,Los Angeles
2016,91401,130,36.9,18+,Los Angeles
2016,91402,360,65.8,18+,Los Angeles
2016,91403,64,31.7,18+,Los Angeles
2016,91405,342,86.6,18+,Los Angeles
2016,91406,240,59.0,18+,Los Angeles
2016,91411,111,55.5,18+,Los Angeles
2016,91423,52,19.2,18+,Los Angeles
2016,91436,24,23.5,18+,Los Angeles
2016,91501,31,17.7,18+,Los Angeles
2016,91502,23,23.2,18+,Los Angeles
2016,91504,35,17.4,18+,Los Angeles
2016,91505,58,23.1,18+,Los Angeles
2016,91506,35,20.3,18+,Los Angeles
2016,91601,135,39.2,18+,Los Angeles
2016,91602,30,19.3,18+,Los Angeles
2016,91604,46,20.0,18+,Los Angeles
2016,91605,249,56.1,18+,Los Angeles
2016,91606,151,43.5,18+,Los Angeles
2016,91607,57,21.8,18+,Los Angeles
2016,91701,60,19.6,18+,San Bernardino
2016,91702,206,43.6,18+,Los Angeles
2016,91706,249,46.9,18+,Los Angeles
2016,91709,84,15.1,18+,San Bernardino
2016,91710,170,26.5,18+,San Bernardino
2016,91711,43,16.0,18+,Los Angeles
2016,91722,95,33.9,18+,Los Angeles
2016,91723,73,47.4,18+,Los Angeles
2016,91724,73,34.4,18+,Los Angeles
2016,91730,138,25.4,18+,San Bernardino
2016,91731,65,29.9,18+,Los Angeles
2016,91732,195,41.6,18+,Los Angeles
2016,91733,118,35.9,18+,Los Angeles
2016,91737,32,20.0,18+,San Bernardino
2016,91739,49,19.8,18+,San Bernardino
2016,91740,65,30.1,18+,Los Angeles
2016,91741,48,25.1,18+,Los Angeles
2016,91744,257,40.3,18+,Los Angeles
2016,91745,119,27.6,18+,Los Angeles
2016,91746,75,31.3,18+,Los Angeles
2016,91748,72,19.8,18+,Los Angeles
2016,91750,91,34.6,18+,Los Angeles
2016,91752,51,20.7,18+,Riverside
2016,91754,50,19.0,18+,Los Angeles
2016,91755,36,17.0,18+,Los Angeles
2016,91761,168,37.0,18+,San Bernardino
2016,91762,176,41.0,18+,San Bernardino
2016,91763,128,44.4,18+,San Bernardino
2016,91764,194,46.0,18+,San Bernardino
2016,91765,63,16.5,18+,Los Angeles
2016,91766,246,45.4,18+,Los Angeles
2016,91767,233,63.9,18+,Los Angeles
2016,91768,102,43.7,18+,Los Angeles
2016,91770,113,22.7,18+,Los Angeles
2016,91773,66,22.0,18+,Los Angeles
2016,91775,30,15.0,18+,Los Angeles
2016,91776,77,23.8,18+,Los Angeles
2016,91780,48,18.3,18+,Los Angeles
2016,91784,27,13.5,18+,San Bernardino
2016,91786,206,49.5,18+,San Bernardino
2016,91789,47,14.1,18+,Los Angeles
2016,91790,138,37.6,18+,Los Angeles
2016,91791,67,24.1,18+,Los Angeles
2016,91792,77,32.1,18+,Los Angeles
2016,91801,99,23.0,18+,Los Angeles
2016,91803,54,22.6,18+,Los Angeles
2016,91901,18,13.6,18+,San Diego
2016,91902,18,13.2,18+,San Diego
2016,91910,175,28.7,18+,San Diego
2016,91911,251,38.0,18+,San Diego
2016,91913,37,11.0,18+,San Diego
2016,91914,12,9.7,18+,San Diego
2016,91915,36,17.0,18+,San Diego
2016,91932,67,32.5,18+,San Diego
2016,91941,70,29.3,18+,San Diego
2016,91942,65,21.2,18+,San Diego
2016,91945,93,52.6,18+,San Diego
2016,91950,201,45.0,18+,San Diego
2016,91977,154,33.7,18+,San Diego
2016,91978,18,25.3,18+,San Diego
2016,92007,13,15.9,18+,San Diego
2016,92008,31,14.1,18+,San Diego
2016,92009,24,6.3,18+,San Diego
2016,92010,15,14.1,18+,San Diego
2016,92011,19,9.7,18+,San Diego
2016,92019,59,17.5,18+,San Diego
2016,92020,119,25.7,18+,San Diego
2016,92021,168,33.4,18+,San Diego
2016,92024,51,12.6,18+,San Diego
2016,92025,98,27.1,18+,San Diego
2016,92026,71,18.0,18+,San Diego
2016,92027,106,25.6,18+,San Diego
2016,92028,62,19.3,18+,San Diego
2016,92037,35,10.4,18+,San Diego
2016,92040,64,19.5,18+,San Diego
2016,92054,82,24.8,18+,San Diego
2016,92056,101,26.0,18+,San Diego
2016,92057,77,17.8,18+,San Diego
2016,92058,62,31.4,18+,San Diego
2016,92064,63,18.1,18+,San Diego
2016,92065,32,11.3,18+,San Diego
2016,92069,42,10.6,18+,San Diego
2016,92071,71,17.1,18+,San Diego
2016,92078,47,12.8,18+,San Diego
2016,92081,45,20.0,18+,San Diego
2016,92082,29,19.0,18+,San Diego
2016,92083,104,37.0,18+,San Diego
2016,92084,100,25.8,18+,San Diego
2016,92101,177,48.6,18+,San Diego
2016,92102,155,42.1,18+,San Diego
2016,92103,79,32.1,18+,San Diego
2016,92104,98,24.7,18+,San Diego
2016,92105,243,46.3,18+,San Diego
2016,92106,30,19.6,18+,San Diego
2016,92107,33,13.4,18+,San Diego
2016,92108,36,16.3,18+,San Diego
2016,92109,52,13.5,18+,San Diego
2016,92110,70,32.6,18+,San Diego
2016,92111,96,24.8,18+,San Diego
2016,92113,230,62.8,18+,San Diego
2016,92114,375,74.1,18+,San Diego
2016,92115,165,36.0,18+,San Diego
2016,92116,57,20.3,18+,San Diego
2016,92117,78,18.5,18+,San Diego
2016,92118,18,10.1,18+,San Diego
2016,92119,39,23.7,18+,San Diego
2016,92120,45,18.7,18+,San Diego
2016,92122,40,12.2,18+,San Diego
2016,92123,56,26.7,18+,San Diego
2016,92124,15,8.7,18+,San Diego
2016,92126,109,19.5,18+,San Diego
2016,92127,34,11.6,18+,San Diego
2016,92128,26,6.0,18+,San Diego
2016,92129,41,10.1,18+,San Diego
2016,92130,23,6.7,18+,San Diego
2016,92131,21,8.6,18+,San Diego
2016,92139,82,29.8,18+,San Diego
2016,92154,143,20.6,18+,San Diego
2016,92173,97,40.9,18+,San Diego
2016,92201,137,30.2,18+,Riverside
2016,92203,30,14.2,18+,Riverside
2016,92211,34,28.7,18+,Riverside
2016,92220,141,65.8,18+,Riverside
2016,92223,125,34.7,18+,Riverside
2016,92225,92,46.8,18+,Riverside
2016,92227,127,67.8,18+,Imperial
2016,92230,23,100.0,18+,Riverside
2016,92231,104,37.2,18+,Imperial
2016,92233,24,39.6,18+,Imperial
2016,92234,104,27.0,18+,Riverside
2016,92236,93,29.8,18+,Riverside
2016,92240,115,46.6,18+,Riverside
2016,92241,15,27.0,18+,Riverside
2016,92243,188,51.1,18+,Imperial
2016,92249,15,26.9,18+,Imperial
2016,92250,24,44.4,18+,Imperial
2016,92251,49,34.0,18+,Imperial
2016,92252,31,43.9,18+,San Bernardino
2016,92253,63,26.1,18+,Riverside
2016,92254,12,13.3,18+,Riverside
2016,92260,32,15.9,18+,Riverside
2016,92262,92,43.8,18+,Riverside
2016,92264,32,27.6,18+,Riverside
2016,92270,40,53.6,18+,Riverside
2016,92274,18,9.2,18+,Riverside
2016,92276,16,28.8,18+,Riverside
2016,92277,47,22.9,18+,San Bernardino
2016,92284,67,36.0,18+,San Bernardino
2016,92301,134,56.4,18+,San Bernardino
2016,92307,183,69.1,18+,San Bernardino
2016,92308,103,38.0,18+,San Bernardino
2016,92311,368,161.6,18+,San Bernardino
2016,92313,15,16.1,18+,San Bernardino
2016,92314,37,46.9,18+,San Bernardino
2016,92315,31,69.9,18+,San Bernardino
2016,92316,100,43.7,18+,San Bernardino
2016,92320,26,33.3,18+,Riverside
2016,92324,215,51.3,18+,San Bernardino
2016,92325,34,52.6,18+,San Bernardino
2016,92335,289,41.2,18+,San Bernardino
2016,92336,189,26.9,18+,San Bernardino
2016,92337,72,25.7,18+,San Bernardino
2016,92342,21,50.6,18+,San Bernardino
2016,92344,30,19.0,18+,San Bernardino
2016,92345,229,39.2,18+,San Bernardino
2016,92346,133,31.9,18+,San Bernardino
2016,92352,17,29.8,18+,San Bernardino
2016,92354,38,21.3,18+,San Bernardino
2016,92356,22,48.4,18+,San Bernardino
2016,92359,22,29.5,18+,San Bernardino
2016,92363,33,101.4,18+,San Bernardino
2016,92371,50,39.9,18+,San Bernardino
2016,92373,63,26.2,18+,San Bernardino
2016,92374,108,33.0,18+,San Bernardino
2016,92376,280,49.8,18+,San Bernardino
2016,92377,47,30.3,18+,San Bernardino
2016,92392,237,60.1,18+,San Bernardino
2016,92394,154,51.6,18+,San Bernardino
2016,92395,236,76.1,18+,San Bernardino
2016,92399,96,23.4,18+,San Bernardino
2016,92404,346,84.1,18+,San Bernardino
2016,92405,164,76.0,18+,San Bernardino
2016,92407,198,44.2,18+,San Bernardino
2016,92408,39,32.8,18+,San Bernardino
2016,92410,238,70.9,18+,San Bernardino
2016,92411,166,90.1,18+,San Bernardino
2016,92501,147,87.9,18+,Riverside
2016,92503,242,36.1,18+,Riverside
2016,92504,164,37.9,18+,Riverside
2016,92505,128,35.8,18+,Riverside
2016,92506,120,38.0,18+,Riverside
2016,92507,184,46.9,18+,Riverside
2016,92508,45,18.2,18+,Riverside
2016,92509,220,37.4,18+,Riverside
2016,92530,146,38.1,18+,Riverside
2016,92532,39,23.1,18+,Riverside
2016,92536,12,43.8,18+,Riverside
2016,92543,174,78.2,18+,Riverside
2016,92544,148,44.7,18+,Riverside
2016,92545,107,38.0,18+,Riverside
2016,92548,21,42.1,18+,Riverside
2016,92551,117,49.3,18+,Riverside
2016,92553,267,50.4,18+,Riverside
2016,92555,108,38.2,18+,Riverside
2016,92557,131,33.9,18+,Riverside
2016,92562,127,27.8,18+,Riverside
2016,92563,114,24.8,18+,Riverside
2016,92567,12,16.3,18+,Riverside
2016,92570,163,41.1,18+,Riverside
2016,92571,163,43.8,18+,Riverside
2016,92582,37,30.1,18+,Riverside
2016,92583,91,42.7,18+,Riverside
2016,92584,83,25.7,18+,Riverside
2016,92585,42,25.8,18+,Riverside
2016,92586,59,53.8,18+,Riverside
2016,92587,40,30.9,18+,Riverside
2016,92590,12,38.1,18+,Riverside
2016,92591,78,23.8,18+,Riverside
2016,92592,124,22.0,18+,Riverside
2016,92595,79,32.9,18+,Riverside
2016,92596,60,33.3,18+,Riverside
2016,92602,23,16.1,18+,Orange
2016,92604,27,12.1,18+,Orange
2016,92606,26,14.8,18+,Orange
2016,92612,40,18.7,18+,Orange
2016,92614,27,14.4,18+,Orange
2016,92618,54,30.1,18+,Orange
2016,92620,37,11.1,18+,Orange
2016,92626,64,14.9,18+,Orange
2016,92627,150,29.5,18+,Orange
2016,92629,22,10.3,18+,Orange
2016,92630,93,18.9,18+,Orange
2016,92637,21,27.9,18+,Orange
2016,92646,79,18.7,18+,Orange
2016,92647,139,31.7,18+,Orange
2016,92648,70,18.8,18+,Orange
2016,92649,38,13.7,18+,Orange
2016,92651,34,19.6,18+,Orange
2016,92653,40,19.4,18+,Orange
2016,92655,21,32.6,18+,Orange
2016,92656,38,10.2,18+,Orange
2016,92660,32,10.4,18+,Orange
2016,92663,19,9.4,18+,Orange
2016,92672,43,14.0,18+,Orange
2016,92673,18,9.1,18+,Orange
2016,92675,31,10.1,18+,Orange
2016,92677,64,12.1,18+,Orange
2016,92679,18,8.1,18+,Orange
2016,92683,158,22.2,18+,Orange
2016,92688,38,11.2,18+,Orange
2016,92691,54,14.1,18+,Orange
2016,92692,54,14.0,18+,Orange
2016,92701,126,35.9,18+,Orange
2016,92703,141,29.3,18+,Orange
2016,92704,161,23.2,18+,Orange
2016,92705,58,16.1,18+,Orange
2016,92706,57,19.3,18+,Orange
2016,92707,127,24.7,18+,Orange
2016,92708,78,17.1,18+,Orange
2016,92780,81,18.3,18+,Orange
2016,92782,26,11.3,18+,Orange
2016,92801,162,33.6,18+,Orange
2016,92802,99,29.8,18+,Orange
2016,92804,209,31.5,18+,Orange
2016,92805,187,35.4,18+,Orange
2016,92806,121,36.2,18+,Orange
2016,92807,48,19.2,18+,Orange
2016,92808,14,9.5,18+,Orange
2016,92821,70,20.7,18+,Orange
2016,92831,68,23.9,18+,Orange
2016,92832,65,31.0,18+,Orange
2016,92833,88,21.0,18+,Orange
2016,92835,33,17.5,18+,Orange
2016,92840,94,22.5,18+,Orange
2016,92841,53,20.0,18+,Orange
2016,92843,96,27.0,18+,Orange
2016,92844,34,18.5,18+,Orange
2016,92845,14,9.7,18+,Orange
2016,92860,33,16.1,18+,Riverside
2016,92865,33,19.7,18+,Orange
2016,92866,36,30.4,18+,Orange
2016,92867,56,16.5,18+,Orange
2016,92868,45,22.2,18+,Orange
2016,92869,35,12.5,18+,Orange
2016,92870,105,27.2,18+,Orange
2016,92879,101,28.2,18+,Riverside
2016,92880,97,21.4,18+,Riverside
2016,92881,34,14.4,18+,Riverside
2016,92882,122,23.2,18+,Riverside
2016,92883,37,17.9,18+,Riverside
2016,92886,47,11.4,18+,Orange
2016,92887,21,13.2,18+,Orange
2016,93001,71,28.3,18+,Ventura
2016,93003,89,23.3,18+,Ventura
2016,93004,51,23.3,18+,Ventura
2016,93010,56,15.6,18+,Ventura
2016,93012,38,13.1,18+,Ventura
2016,93013,25,17.1,18+,Santa Barbara
2016,93015,37,26.6,18+,Ventura
2016,93021,54,19.2,18+,Ventura
2016,93023,46,31.8,18+,Ventura
2016,93030,130,31.4,18+,Ventura
2016,93033,148,26.2,18+,Ventura
2016,93035,52,25.6,18+,Ventura
2016,93036,83,25.3,18+,Ventura
2016,93041,53,31.9,18+,Ventura
2016,93060,59,23.6,18+,Ventura
2016,93063,132,31.3,18+,Ventura
2016,93065,138,26.1,18+,Ventura
2016,93101,81,30.3,18+,Santa Barbara
2016,93103,48,30.5,18+,Santa Barbara
2016,93105,45,21.1,18+,Santa Barbara
2016,93110,30,21.6,18+,Santa Barbara
2016,93111,24,18.7,18+,Santa Barbara
2016,93117,80,21.8,18+,Santa Barbara
2016,93202,23,131.9,18+,Kings
2016,93203,27,19.5,18+,Kern
2016,93204,17,21.0,18+,Kings
2016,93205,15,99.4,18+,Kern
2016,93206,14,80.8,18+,Kern
2016,93210,51,32.8,18+,Fresno
2016,93212,42,22.7,18+,Kings
2016,93215,107,28.1,18+,Kern
2016,93221,31,31.3,18+,Tulare
2016,93223,34,48.5,18+,Tulare
2016,93230,299,63.0,18+,Kings
2016,93234,26,48.0,18+,Fresno
2016,93240,28,80.3,18+,Kern
2016,93241,27,24.3,18+,Kern
2016,93245,119,39.8,18+,Kings
2016,93247,18,14.5,18+,Tulare
2016,93250,23,22.8,18+,Kern
2016,93256,17,31.1,18+,Tulare
2016,93257,183,35.1,18+,Tulare
2016,93263,38,28.4,18+,Kern
2016,93267,17,39.8,18+,Tulare
2016,93268,31,21.7,18+,Kern
2016,93270,18,45.3,18+,Tulare
2016,93274,220,43.0,18+,Tulare
2016,93277,103,29.2,18+,Tulare
2016,93280,33,17.0,18+,Kern
2016,93286,15,24.4,18+,Tulare
2016,93291,134,31.9,18+,Tulare
2016,93292,82,27.0,18+,Tulare
2016,93301,102,121.1,18+,Kern
2016,93304,332,90.7,18+,Kern
2016,93305,273,103.9,18+,Kern
2016,93306,231,46.1,18+,Kern
2016,93307,300,50.3,18+,Kern
2016,93308,201,50.4,18+,Kern
2016,93309,178,40.3,18+,Kern
2016,93311,85,24.8,18+,Kern
2016,93312,65,15.0,18+,Kern
2016,93313,138,38.2,18+,Kern
2016,93314,36,18.3,18+,Kern
2016,93401,74,34.3,18+,San Luis Obispo
2016,93402,38,37.5,18+,San Luis Obispo
2016,93405,31,15.8,18+,San Luis Obispo
2016,93420,81,39.1,18+,San Luis Obispo
2016,93422,82,33.4,18+,San Luis Obispo
2016,93427,14,35.8,18+,Santa Barbara
2016,93428,14,23.6,18+,San Luis Obispo
2016,93433,40,40.8,18+,San Luis Obispo
2016,93434,22,40.3,18+,Santa Barbara
2016,93436,135,31.3,18+,Santa Barbara
2016,93442,18,23.7,18+,San Luis Obispo
2016,93444,55,39.0,18+,San Luis Obispo
2016,93445,22,41.6,18+,San Luis Obispo
2016,93446,109,34.1,18+,San Luis Obispo
2016,93454,143,53.0,18+,Santa Barbara
2016,93455,91,28.5,18+,Santa Barbara
2016,93458,122,30.5,18+,Santa Barbara
2016,93460,14,38.1,18+,Santa Barbara
2016,93463,19,32.7,18+,Santa Barbara
2016,93465,14,18.2,18+,San Luis Obispo
2016,93501,47,119.9,18+,Kern
2016,93505,46,40.5,18+,Kern
2016,93510,17,30.5,18+,Los Angeles
2016,93514,31,29.4,18+,Inyo
2016,93534,325,111.5,18+,Los Angeles
2016,93535,599,113.9,18+,Los Angeles
2016,93536,229,40.8,18+,Los Angeles
2016,93543,61,67.9,18+,Los Angeles
2016,93546,17,21.7,18+,Mono
2016,93550,464,84.5,18+,Los Angeles
2016,93551,139,34.8,18+,Los Angeles
2016,93552,145,52.6,18+,Los Angeles
2016,93555,114,52.3,18+,Kern
2016,93560,57,37.2,18+,Kern
2016,93561,114,42.7,18+,Kern
2016,93591,51,103.2,18+,Los Angeles
2016,93609,13,30.3,18+,Fresno
2016,93610,36,19.8,18+,Madera
2016,93611,70,20.8,18+,Fresno
2016,93612,156,58.8,18+,Fresno
2016,93618,56,29.6,18+,Tulare
2016,93619,31,12.0,18+,Fresno
2016,93620,29,44.4,18+,Merced
2016,93622,15,19.7,18+,Fresno
2016,93625,17,30.4,18+,Fresno
2016,93630,23,16.6,18+,Fresno
2016,93631,32,26.3,18+,Fresno
2016,93635,256,89.0,18+,Merced
2016,93636,25,23.1,18+,Madera
2016,93637,116,44.0,18+,Madera
2016,93638,148,41.0,18+,Madera
2016,93640,25,31.5,18+,Fresno
2016,93644,19,35.7,18+,Madera
2016,93646,25,39.8,18+,Fresno
2016,93647,21,25.4,18+,Tulare
2016,93648,69,66.4,18+,Fresno
2016,93650,16,73.7,18+,Fresno
2016,93654,68,31.9,18+,Fresno
2016,93656,13,29.7,18+,Fresno
2016,93657,117,44.5,18+,Fresno
2016,93662,134,61.7,18+,Fresno
2016,93701,75,87.9,18+,Fresno
2016,93702,180,58.9,18+,Fresno
2016,93703,160,71.5,18+,Fresno
2016,93704,76,38.1,18+,Fresno
2016,93705,169,65.8,18+,Fresno
2016,93706,169,61.0,18+,Fresno
2016,93710,97,41.6,18+,Fresno
2016,93711,68,26.6,18+,Fresno
2016,93720,58,16.6,18+,Fresno
2016,93721,26,40.2,18+,Fresno
2016,93722,212,35.9,18+,Fresno
2016,93725,92,52.3,18+,Fresno
2016,93726,186,68.2,18+,Fresno
2016,93727,203,37.4,18+,Fresno
2016,93728,78,65.2,18+,Fresno
2016,93730,12,13.1,18+,Fresno
2016,93901,174,87.4,18+,Monterey
2016,93905,206,46.7,18+,Monterey
2016,93906,245,58.0,18+,Monterey
2016,93907,56,33.9,18+,Monterey
2016,93923,14,29.2,18+,Monterey
2016,93924,18,32.0,18+,Monterey
2016,93926,24,37.3,18+,Monterey
2016,93927,34,28.5,18+,Monterey
2016,93930,21,20.5,18+,Monterey
2016,93933,74,41.9,18+,Monterey
2016,93940,52,18.8,18+,Monterey
2016,93950,24,21.6,18+,Monterey
2016,93955,120,47.1,18+,Monterey
2016,93960,50,23.3,18+,Monterey
2016,94002,38,15.6,18+,San Mateo
2016,94010,36,12.5,18+,San Mateo
2016,94014,122,30.5,18+,San Mateo
2016,94015,177,34.7,18+,San Mateo
2016,94019,46,31.3,18+,San Mateo
2016,94025,50,16.6,18+,San Mateo
2016,94030,49,29.3,18+,San Mateo
2016,94038,13,52.8,18+,San Mateo
2016,94040,37,12.9,18+,Santa Clara
2016,94041,13,11.5,18+,Santa Clara
2016,94043,28,12.4,18+,Santa Clara
2016,94044,131,45.0,18+,San Mateo
2016,94061,64,22.7,18+,San Mateo
2016,94062,35,19.5,18+,San Mateo
2016,94063,135,55.8,18+,San Mateo
2016,94066,140,40.8,18+,San Mateo
2016,94070,38,17.8,18+,San Mateo
2016,94080,189,36.7,18+,San Mateo
2016,94085,32,19.5,18+,Santa Clara
2016,94086,41,11.8,18+,Santa Clara
2016,94087,34,8.5,18+,Santa Clara
2016,94089,42,26.6,18+,Santa Clara
2016,94102,232,73.3,18+,San Francisco
2016,94103,173,58.6,18+,San Francisco
2016,94105,17,22.7,18+,San Francisco
2016,94107,59,24.3,18+,San Francisco
2016,94108,12,9.0,18+,San Francisco
2016,94109,98,20.4,18+,San Francisco
2016,94110,248,43.6,18+,San Francisco
2016,94111,16,40.7,18+,San Francisco
2016,94112,191,28.3,18+,San Francisco
2016,94114,38,12.8,18+,San Francisco
2016,94115,96,35.2,18+,San Francisco
2016,94116,63,16.6,18+,San Francisco
2016,94117,100,29.8,18+,San Francisco
2016,94118,46,12.5,18+,San Francisco
2016,94121,53,15.7,18+,San Francisco
2016,94122,46,9.7,18+,San Francisco
2016,94123,20,9.9,18+,San Francisco
2016,94124,195,65.9,18+,San Francisco
2016,94127,25,16.1,18+,San Francisco
2016,94130,23,446.7,18+,San Francisco
2016,94131,32,13.2,18+,San Francisco
2016,94132,58,23.3,18+,San Francisco
2016,94133,41,17.7,18+,San Francisco
2016,94134,120,36.3,18+,San Francisco
2016,94303,117,33.5,18+,Santa Clara
2016,94401,112,40.6,18+,San Mateo
2016,94402,49,29.1,18+,San Mateo
2016,94403,121,37.2,18+,San Mateo
2016,94404,25,8.7,18+,San Mateo
2016,94501,204,39.7,18+,Alameda
2016,94502,17,15.8,18+,Alameda
2016,94503,55,37.4,18+,Napa
2016,94505,25,21.7,18+,Contra Costa
2016,94506,21,16.6,18+,Contra Costa
2016,94507,16,12.0,18+,Contra Costa
2016,94509,517,108.3,18+,Contra Costa
2016,94510,78,38.1,18+,Solano
2016,94511,21,167.8,18+,Contra Costa
2016,94513,148,33.6,18+,Contra Costa
2016,94515,15,26.0,18+,Napa
2016,94517,25,29.3,18+,Contra Costa
2016,94518,57,25.9,18+,Contra Costa
2016,94519,69,45.5,18+,Contra Costa
2016,94520,199,67.3,18+,Contra Costa
2016,94521,106,32.7,18+,Contra Costa
2016,94523,65,21.5,18+,Contra Costa
2016,94525,12,33.2,18+,Contra Costa
2016,94526,29,14.5,18+,Contra Costa
2016,94530,34,17.5,18+,Contra Costa
2016,94531,223,67.5,18+,Contra Costa
2016,94533,501,93.1,18+,Solano
2016,94534,81,28.9,18+,Solano
2016,94536,151,27.4,18+,Alameda
2016,94538,159,32.3,18+,Alameda
2016,94539,62,19.3,18+,Alameda
2016,94541,295,60.0,18+,Alameda
2016,94542,31,22.8,18+,Alameda
2016,94544,386,66.7,18+,Alameda
2016,94545,144,58.4,18+,Alameda
2016,94546,136,39.7,18+,Alameda
2016,94547,73,37.7,18+,Contra Costa
2016,94549,31,18.8,18+,Contra Costa
2016,94550,55,15.0,18+,Alameda
2016,94551,51,17.7,18+,Alameda
2016,94552,13,12.9,18+,Alameda
2016,94553,167,45.5,18+,Contra Costa
2016,94555,45,17.9,18+,Alameda
2016,94558,144,29.4,18+,Napa
2016,94559,57,27.0,18+,Napa
2016,94560,148,44.4,18+,Alameda
2016,94561,162,54.1,18+,Contra Costa
2016,94564,34,21.0,18+,Contra Costa
2016,94565,559,83.0,18+,Contra Costa
2016,94566,56,17.2,18+,Alameda
2016,94568,74,17.3,18+,Alameda
2016,94571,38,66.8,18+,Solano
2016,94572,34,56.8,18+,Contra Costa
2016,94577,165,44.4,18+,Alameda
2016,94578,206,67.2,18+,Alameda
2016,94579,65,42.3,18+,Alameda
2016,94580,122,54.1,18+,Alameda
2016,94582,38,13.6,18+,Contra Costa
2016,94583,42,17.7,18+,Contra Costa
2016,94585,190,87.6,18+,Solano
2016,94587,204,36.4,18+,Alameda
2016,94588,23,11.0,18+,Alameda
2016,94589,288,126.9,18+,Solano
2016,94590,387,143.3,18+,Solano
2016,94591,262,63.0,18+,Solano
2016,94595,19,16.0,18+,Contra Costa
2016,94596,27,17.8,18+,Contra Costa
2016,94597,45,23.6,18+,Contra Costa
2016,94598,31,17.6,18+,Contra Costa
2016,94601,305,76.7,18+,Alameda
2016,94602,105,46.7,18+,Alameda
2016,94603,407,168.4,18+,Alameda
2016,94605,383,120.2,18+,Alameda
2016,94606,180,63.4,18+,Alameda
2016,94607,209,96.4,18+,Alameda
2016,94608,183,67.3,18+,Alameda
2016,94609,122,65.9,18+,Alameda
2016,94610,73,28.2,18+,Alameda
2016,94611,52,18.0,18+,Alameda
2016,94612,94,65.7,18+,Alameda
2016,94618,14,14.6,18+,Alameda
2016,94619,87,45.8,18+,Alameda
2016,94621,306,132.3,18+,Alameda
2016,94702,65,44.8,18+,Alameda
2016,94703,57,37.1,18+,Alameda
2016,94704,32,25.3,18+,Alameda
2016,94705,32,37.5,18+,Alameda
2016,94706,30,20.8,18+,Alameda
2016,94707,14,15.2,18+,Alameda
2016,94708,12,11.5,18+,Alameda
2016,94709,15,23.0,18+,Alameda
2016,94710,26,35.5,18+,Alameda
2016,94801,205,90.4,18+,Contra Costa
2016,94803,85,47.5,18+,Contra Costa
2016,94804,299,98.4,18+,Contra Costa
2016,94805,53,46.6,18+,Contra Costa
2016,94806,325,69.5,18+,Contra Costa
2016,94901,69,20.8,18+,Marin
2016,94903,50,23.7,18+,Marin
2016,94928,118,31.6,18+,Sonoma
2016,94931,19,28.3,18+,Sonoma
2016,94941,13,4.3,18+,Marin
2016,94945,38,23.6,18+,Marin
2016,94947,53,31.8,18+,Marin
2016,94949,42,34.0,18+,Marin
2016,94952,64,26.0,18+,Sonoma
2016,94954,70,23.8,18+,Sonoma
2016,94960,16,18.3,18+,Marin
2016,94965,23,25.9,18+,Marin
2016,95003,39,20.1,18+,Santa Cruz
2016,95005,14,24.0,18+,Santa Cruz
2016,95006,14,23.0,18+,Santa Cruz
2016,95008,96,26.1,18+,Santa Clara
2016,95010,19,25.5,18+,Santa Cruz
2016,95012,37,46.6,18+,Monterey
2016,95014,29,5.8,18+,Santa Clara
2016,95019,15,25.1,18+,Santa Cruz
2016,95020,203,43.5,18+,Santa Clara
2016,95023,135,36.9,18+,San Benito
2016,95032,22,10.2,18+,Santa Clara
2016,95033,29,26.5,18+,Santa Cruz
2016,95035,106,18.4,18+,Santa Clara
2016,95037,112,28.3,18+,Santa Clara
2016,95050,75,23.2,18+,Santa Clara
2016,95051,70,16.0,18+,Santa Clara
2016,95054,24,14.7,18+,Santa Clara
2016,95060,75,20.2,18+,Santa Cruz
2016,95062,56,19.2,18+,Santa Cruz
2016,95066,15,12.9,18+,Santa Cruz
2016,95070,13,4.2,18+,Santa Clara
2016,95073,20,23.9,18+,Santa Cruz
2016,95076,200,34.0,18+,Santa Cruz
2016,95110,39,24.5,18+,Santa Clara
2016,95111,219,51.0,18+,Santa Clara
2016,95112,213,49.5,18+,Santa Clara
2016,95116,244,61.7,18+,Santa Clara
2016,95117,57,25.0,18+,Santa Clara
2016,95118,71,29.5,18+,Santa Clara
2016,95119,23,28.3,18+,Santa Clara
2016,95120,25,10.8,18+,Santa Clara
2016,95121,94,31.2,18+,Santa Clara
2016,95122,225,51.6,18+,Santa Clara
2016,95123,186,37.5,18+,Santa Clara
2016,95124,93,25.2,18+,Santa Clara
2016,95125,118,28.8,18+,Santa Clara
